Date,Open,High,Low,Close,Adj Close,Volume
2020-03-02,1355.099976,1369.000000,1301.099976,1316.150024,1311.226563,13486634
2020-03-03,1329.699951,1353.900024,1322.000000,1342.849976,1337.826660,12525809
2020-03-04,1352.000000,1353.800049,1307.900024,1339.699951,1334.688477,10105782
2020-03-05,1352.199951,1357.949951,1306.000000,1311.150024,1306.245239,13948324
2020-03-06,1270.000000,1288.150024,1241.099976,1271.000000,1266.245483,15422068
2020-03-09,1240.050049,1241.000000,1095.000000,1114.150024,1109.982178,40316138
2020-03-11,1108.000000,1178.449951,1108.000000,1153.550049,1149.234863,27237321
2020-03-12,1085.000000,1101.000000,1048.699951,1063.000000,1059.023560,25587823
2020-03-13,998.000000,1140.000000,942.400024,1105.300049,1101.165405,33509107
2020-03-16,1060.550049,1079.699951,1005.000000,1015.700012,1011.900513,17592794
2020-03-17,1047.250000,1060.000000,1003.200012,1008.000000,1004.229309,20776373
2020-03-18,1025.300049,1035.900024,961.000000,968.500000,964.877075,20449241
2020-03-19,920.099976,967.000000,892.200012,917.700012,914.267090,28071848
2020-03-20,939.500000,1034.900024,930.000000,1017.950012,1014.142090,28966278
2020-03-23,916.200012,950.000000,875.650024,884.049988,880.742920,18593390
2020-03-24,930.000000,970.000000,895.799988,943.400024,939.870972,20908452
2020-03-25,963.799988,1151.550049,963.250000,1082.250000,1078.201538,33432712
2020-03-26,1095.800049,1116.900024,1042.349976,1066.199951,1062.211548,20912841
2020-03-27,1095.000000,1107.300049,1046.199951,1065.599976,1061.613770,19044609
2020-03-30,1040.599976,1074.800049,1020.000000,1030.449951,1026.595215,13820078
2020-03-31,1073.949951,1129.800049,1048.000000,1113.750000,1109.583740,20249183
2020-04-01,1122.250000,1124.599976,1045.199951,1080.449951,1076.408203,19016959
2020-04-03,1134.449951,1134.449951,1056.300049,1077.449951,1073.419434,18911970
2020-04-07,1102.099976,1214.000000,1100.000000,1206.099976,1201.588257,24857792
2020-04-08,1180.000000,1229.000000,1160.000000,1192.150024,1187.690430,22803609
2020-04-09,1214.000000,1232.800049,1193.000000,1219.949951,1215.386353,15101511
2020-04-13,1203.949951,1215.000000,1180.000000,1189.150024,1184.701660,10822858
2020-04-15,1197.050049,1236.000000,1143.000000,1149.849976,1145.548584,16147958
2020-04-16,1149.849976,1187.449951,1145.000000,1168.050049,1163.680664,17123489
2020-04-17,1216.000000,1230.000000,1192.650024,1224.000000,1219.421265,15209621
2020-04-20,1226.000000,1257.000000,1202.000000,1243.800049,1239.147217,16472130
2020-04-21,1210.000000,1252.000000,1164.000000,1237.349976,1232.721313,28057044
2020-04-22,1320.000000,1384.900024,1300.000000,1363.599976,1358.499023,65230035
2020-04-23,1367.349976,1385.849976,1353.300049,1370.900024,1365.771729,29928168
2020-04-24,1350.150024,1494.949951,1347.199951,1417.000000,1411.699341,61711199
2020-04-27,1434.000000,1475.000000,1423.000000,1429.750000,1424.401611,26736415
2020-04-28,1450.000000,1455.449951,1392.150024,1428.150024,1422.807617,35866256
2020-04-29,1444.900024,1453.650024,1420.000000,1426.949951,1421.612061,17141303
2020-04-30,1440.300049,1480.910034,1424.550049,1452.229980,1446.797485,32926121
2020-05-04,1426.479980,1451.239990,1404.140015,1421.719971,1416.401611,24670336
2020-05-05,1440.050049,1465.109985,1433.609985,1446.930054,1441.517456,20723079
2020-05-06,1450.250000,1471.010010,1431.930054,1447.030029,1441.616943,18685710
2020-05-07,1441.339966,1499.439941,1431.430054,1492.800049,1487.215820,23087436
2020-05-08,1530.489990,1565.060059,1522.670044,1547.130005,1541.342529,38887255
2020-05-11,1565.160034,1599.839966,1557.540039,1561.989990,1556.146973,30959745
2020-05-12,1550.109985,1553.619995,1451.239990,1465.359985,1459.878418,46465281
2020-05-13,1527.000000,1527.000000,1454.000000,1496.449951,1490.852051,30657492
2020-05-14,1469.000000,1496.699951,1430.050049,1435.949951,1430.578369,22736607
2020-05-15,1444.000000,1466.699951,1415.099976,1459.400024,1453.940674,28683258
2020-05-18,1470.000000,1482.000000,1428.000000,1440.750000,1435.360474,28980385
2020-05-19,1457.000000,1461.699951,1403.250000,1408.900024,1403.629639,19528760
